"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"29 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.00","164.00","162.35","167.25","162.10","13","65.000 KGS  ","106.52","14"
"28 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","162.00","162.50","161.85","162.10","163.55","3","15.000 KGS  ","24.32","16"
"27 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","","","","163.55","163.55","0","0.000 KGS  ","0.00","16"
"25 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","168.40","168.40","161.50","163.55","161.95","9","45.000 KGS  ","73.61","16"
"22 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.15","164.60","159.20","161.95","164.80","294","1470.000 KGS  ","2394.41","118"
"21 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","163.55","165.25","163.45","164.80","163.25","2617","13085.000 KGS  ","21487.36","260"
"20 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","161.75","163.40","160.35","163.25","161.75","2139","10695.000 KGS  ","17375.73","765"
"19 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","161.65","162.20","160.05","161.75","161.35","2165","10825.000 KGS  ","17440.86","914"
"18 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","162.55","163.30","161.15","161.35","162.20","1632","8160.000 KGS  ","13232.48","908"
"15 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","163.75","163.95","162.00","162.20","163.60","2251","11255.000 KGS  ","18329.26","863"
"14 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.55","164.60","163.05","163.60","164.10","2254","11270.000 KGS  ","18465.84","806"
"13 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.45","164.75","163.50","164.10","164.80","1969","9845.000 KGS  ","16157.75","732"
"12 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.00","165.10","163.55","164.80","164.05","2292","11460.000 KGS  ","18848.06","704"
"11 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","163.90","164.40","163.15","164.05","164.70","2319","11595.000 KGS  ","18990.82","703"
"08 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.20","165.80","164.00","164.70","165.50","3356","16780.000 KGS  ","27645.19","715"
"07 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.20","166.45","164.35","165.50","165.10","3181","15905.000 KGS  ","26323.57","674"
"06 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.35","167.70","163.60","165.10","165.70","3137","15685.000 KGS  ","26052.67","579"
"05 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","163.80","165.90","163.50","165.70","163.85","2459","12295.000 KGS  ","20239.42","638"
"04 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","160.70","164.40","160.65","163.85","161.20","2834","14170.000 KGS  ","23101.87","620"
"01 Jan 2021","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","161.40","161.50","160.35","161.20","160.95","340","1700.000 KGS  ","2738.87","786"
"31 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","161.75","161.75","160.30","160.95","162.10","2125","10625.000 KGS  ","17101.46","807"
"30 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","162.15","162.65","161.40","162.10","162.00","2421","12105.000 KGS  ","19623.81","804"
"29 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","162.50","163.15","161.35","162.00","163.30","3150","15750.000 KGS  ","25553.00","776"
"28 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.35","164.35","160.30","163.30","163.85","1919","9595.000 KGS  ","15661.73","854"
"24 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","163.35","164.40","162.90","163.85","163.40","2041","10205.000 KGS  ","16715.07","583"
"23 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.00","164.10","161.50","163.40","162.60","966","4830.000 KGS  ","7864.84","551"
"22 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.30","165.30","162.10","162.60","165.50","475","2375.000 KGS  ","3882.63","468"
"21 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.95","166.80","164.20","165.50","166.55","288","1440.000 KGS  ","2382.47","372"
"18 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","167.95","168.30","166.40","166.55","167.25","112","560.000 KGS  ","937.42","297"
"17 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","166.25","168.50","166.15","167.25","165.80","113","565.000 KGS  ","944.51","279"
"16 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.70","167.00","165.55","165.80","165.35","159","795.000 KGS  ","1322.23","265"
"15 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","165.80","166.25","165.25","165.35","166.30","94","470.000 KGS  ","779.15","212"
"14 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","166.00","166.60","165.45","166.30","164.90","148","740.000 KGS  ","1228.69","207"
"11 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","166.20","166.50","164.75","164.90","166.90","96","480.000 KGS  ","794.64","140"
"10 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","164.75","167.50","164.75","166.90","165.15","101","505.000 KGS  ","839.47","141"
"09 Dec 2020","FUTCOM","ALUMINIUM    ","29JAN2021","-","0.00","162.60","165.30","162.60","165.15","162.85","79","395.000 KGS  ","649.40","97"
