"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"19 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2988.00","3029.00","2966.00","2998.00","2995.00","55824","5582.400 BBL  ","167387.62","78"
"16 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2968.00","3025.00","2938.00","2995.00","2994.00","81006","8100.600 BBL  ","241116.54","705"
"15 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3011.00","3016.00","2881.00","2994.00","3004.00","87812","8781.200 BBL  ","258885.94","845"
"14 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2938.00","3017.00","2918.00","3004.00","2958.00","74776","7477.600 BBL  ","221606.78","1104"
"13 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2894.00","2979.00","2886.00","2958.00","2889.00","85494","8549.400 BBL  ","251064.71","1059"
"12 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2951.00","2951.00","2865.00","2889.00","2960.00","69583","6958.300 BBL  ","202687.11","1144"
"09 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3007.00","3032.00","2947.00","2960.00","3025.00","90550","9055.000 BBL  ","271214.81","926"
"08 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2932.00","3032.00","2925.00","3025.00","2916.00","88609","8860.900 BBL  ","264619.38","1285"
"07 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2935.00","2965.00","2881.00","2916.00","2972.00","94103","9410.300 BBL  ","274443.25","1127"
"06 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2889.00","2999.00","2873.00","2972.00","2899.00","91984","9198.400 BBL  ","270385.80","1028"
"05 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2790.00","2907.00","2760.00","2899.00","2837.00","87758","8775.800 BBL  ","248827.18","1195"
"01 Oct 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2952.00","2973.00","2758.00","2837.00","2934.00","91987","9198.700 BBL  ","263497.94","1444"
"30 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2875.00","2948.00","2855.00","2934.00","2877.00","72134","7213.400 BBL  ","209047.48","1214"
"29 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2975.00","2995.00","2837.00","2877.00","2989.00","82808","8280.800 BBL  ","242861.54","1395"
"28 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2952.00","3009.00","2932.00","2989.00","2969.00","69161","6916.100 BBL  ","205623.60","1090"
"25 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2992.00","3004.00","2934.00","2969.00","2973.00","64957","6495.700 BBL  ","192555.64","1201"
"24 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2918.00","2979.00","2905.00","2973.00","2947.00","75672","7567.200 BBL  ","222908.62","1202"
"23 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2956.00","3004.00","2894.00","2947.00","2920.00","84105","8410.500 BBL  ","247468.55","1295"
"22 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2921.00","2966.00","2886.00","2920.00","2888.00","82729","8272.900 BBL  ","242177.07","1431"
"21 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3053.00","3053.00","2868.00","2888.00","3017.00","21821","2182.100 BBL  ","64442.56","1471"
"18 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3072.00","3074.00","2993.00","3017.00","3056.00","2244","224.400 BBL  ","6825.59","294"
"17 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2956.00","3065.00","2939.00","3056.00","2973.00","1769","176.900 BBL  ","5305.15","322"
"16 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2895.00","2988.00","2894.00","2973.00","2868.00","1146","114.600 BBL  ","3366.99","262"
"15 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2770.00","2876.00","2767.00","2868.00","2782.00","922","92.200 BBL  ","2595.67","252"
"14 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2806.00","2806.00","2746.00","2782.00","2786.00","766","76.600 BBL  ","2125.88","239"
"11 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2772.00","2819.00","2741.00","2786.00","2804.00","778","77.800 BBL  ","2164.03","226"
"10 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2820.00","2834.00","2770.00","2804.00","2841.00","743","74.300 BBL  ","2086.52","197"
"09 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2741.00","2864.00","2732.00","2841.00","2759.00","1460","146.000 BBL  ","4087.85","176"
"08 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2918.00","2922.00","2718.00","2759.00","2939.00","1657","165.700 BBL  ","4648.45","200"
"07 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","2935.00","2960.00","2905.00","2939.00","2956.00","455","45.500 BBL  ","1330.75","123"
"04 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3052.00","3104.00","2932.00","2956.00","3079.00","624","62.400 BBL  ","1880.02","94"
"03 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3088.00","3092.00","3002.00","3079.00","3092.00","431","43.100 BBL  ","1314.23","62"
"02 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3186.00","3191.00","3071.00","3092.00","3175.00","267","26.700 BBL  ","835.20","44"
"01 Sep 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3188.00","3207.00","3167.00","3175.00","3178.00","139","13.900 BBL  ","442.78","28"
"31 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3195.00","3242.00","3172.00","3178.00","3188.00","121","12.100 BBL  ","388.46","20"
"28 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3208.00","3213.00","3172.00","3188.00","3203.00","99","9.900 BBL  ","315.67","28"
"27 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3258.00","3264.00","3173.00","3203.00","3266.00","181","18.100 BBL  ","584.02","19"
"26 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3253.00","3292.00","3246.00","3266.00","3254.00","95","9.500 BBL  ","309.92","28"
"25 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3197.00","3320.00","3176.00","3254.00","3194.00","285","28.500 BBL  ","922.17","29"
"24 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3195.00","3211.00","3166.00","3194.00","3176.00","23","2.300 BBL  ","73.54","7"
"21 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3236.00","3236.00","3135.00","3176.00","3245.00","47","4.700 BBL  ","150.48","11"
"20 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","3254.00","3265.00","3202.00","3245.00","3242.00","18","1.800 BBL  ","58.33","4"
"19 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3242.00","3242.00","0","0.000 BBL  ","0.00","0"
"18 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3242.00","3247.00","0","0.000 BBL  ","0.00","0"
"17 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3247.00","3203.00","0","0.000 BBL  ","0.00","0"
"14 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3203.00","3227.00","0","0.000 BBL  ","0.00","0"
"13 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3227.00","3235.00","0","0.000 BBL  ","0.00","0"
"12 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3235.00","3199.00","0","0.000 BBL  ","0.00","0"
"11 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3199.00","3218.00","0","0.000 BBL  ","0.00","0"
"10 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3218.00","3167.00","0","0.000 BBL  ","0.00","0"
"07 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3167.00","3214.00","0","0.000 BBL  ","0.00","0"
"06 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3214.00","3225.00","0","0.000 BBL  ","0.00","0"
"05 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3225.00","3204.00","0","0.000 BBL  ","0.00","0"
"04 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3204.00","3156.00","0","0.000 BBL  ","0.00","0"
"03 Aug 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3156.00","3100.00","0","0.000 BBL  ","0.00","0"
"31 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3100.00","3060.00","0","0.000 BBL  ","0.00","0"
"30 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3060.00","3147.00","0","0.000 BBL  ","0.00","0"
"29 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3147.00","3110.00","0","0.000 BBL  ","0.00","0"
"28 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3110.00","3155.00","0","0.000 BBL  ","0.00","0"
"27 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3155.00","3108.00","0","0.000 BBL  ","0.00","0"
"24 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3108.00","3147.00","0","0.000 BBL  ","0.00","0"
"23 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3147.00","3162.00","0","0.000 BBL  ","0.00","0"
"22 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3162.00","3153.00","0","0.000 BBL  ","0.00","0"
"21 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3153.00","3117.00","0","0.000 BBL  ","0.00","0"
"20 Jul 2020","FUTCOM","CRUDEOIL     ","19OCT2020","-","0.00","","","","3117.00","3113.00","0","0.000 BBL  ","0.00","0"
