"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"19 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4696.00","4763.00","4689.00","4746.00","4721.00","9596","959.600 BBL  ","45371.36","228"
"16 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4750.00","4764.00","4680.00","4721.00","4742.00","30720","3072.000 BBL  ","144972.87","1906"
"15 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4743.00","4772.00","4692.00","4742.00","4752.00","41241","4124.100 BBL  ","194898.85","3172"
"14 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4587.00","4762.00","4578.00","4752.00","4528.00","53492","5349.200 BBL  ","250034.39","5429"
"13 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4497.00","4569.00","4497.00","4528.00","4478.00","75063","7506.300 BBL  ","340216.71","4660"
"12 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4442.00","4562.00","4403.00","4478.00","4434.00","112227","11222.700 BBL  ","503607.38","4862"
"09 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4451.00","4476.00","4420.00","4434.00","4438.00","82748","8274.800 BBL  ","367985.25","4131"
"08 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4440.00","4475.00","4394.00","4438.00","4444.00","119637","11963.700 BBL  ","530292.56","4702"
"07 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4372.00","4469.00","4332.00","4444.00","4367.00","187968","18796.800 BBL  ","828521.30","4690"
"06 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4319.00","4478.00","4300.00","4367.00","4281.00","159996","15999.600 BBL  ","703839.89","3598"
"05 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4503.00","4503.00","4244.00","4281.00","4514.00","155519","15551.900 BBL  ","680338.70","4922"
"01 Apr 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4368.00","4528.00","4332.00","4514.00","4384.00","231299","23129.900 BBL  ","1019526.61","5151"
"31 Mar 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4471.00","4503.00","4337.00","4384.00","4455.00","125307","12530.700 BBL  ","556740.87","3742"
"30 Mar 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4516.00","4534.00","4421.00","4455.00","4486.00","116833","11683.300 BBL  ","522651.27","4170"
"29 Mar 2021","FUTCOM","CRUDEOIL     ","19APR2021","-","0.00","4474.00","4499.00","4388.00","4486.00","4456.00","89369","8936.900 BBL  ","397331.57","5155"
