"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"19 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3710.00","3819.00","3710.00","3805.00","3698.00","342602","34260.200 BBL  ","1293029.73","3697"
"18 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3721.00","3721.00","3634.00","3698.00","3736.00","428968","42896.800 BBL  ","1574945.51","12036"
"17 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3714.00","3743.00","3707.00","3736.00","3707.00","223377","22337.700 BBL  ","831258.38","16900"
"14 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3685.00","3744.00","3667.00","3707.00","3675.00","421137","42113.700 BBL  ","1562345.69","17650"
"13 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3675.00","3703.00","3614.00","3675.00","3662.00","471600","47160.000 BBL  ","1724649.07","19655"
"12 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3580.00","3694.00","3580.00","3662.00","3580.00","444590","44459.000 BBL  ","1622139.71","20712"
"11 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3555.00","3614.00","3555.00","3580.00","3541.00","433312","43331.200 BBL  ","1555132.23","26496"
"10 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3615.00","3615.00","3531.00","3541.00","3617.00","416739","41673.900 BBL  ","1489146.15","30509"
"07 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3650.00","3673.00","3588.00","3617.00","3630.00","462793","46279.300 BBL  ","1679620.94","26524"
"06 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3689.00","3719.00","3583.00","3630.00","3680.00","542483","54248.300 BBL  ","1978848.87","26857"
"05 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3590.00","3700.00","3551.00","3680.00","3584.00","549449","54944.900 BBL  ","1997843.05","23356"
"04 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3606.00","3680.00","3572.00","3584.00","3626.00","566399","56639.900 BBL  ","2050926.89","31555"
"03 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3690.00","3724.00","3572.00","3626.00","3677.00","549899","54989.900 BBL  ","2015100.57","29032"
"01 Feb 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3671.00","3740.00","3662.00","3677.00","3683.00","19381","1938.100 BBL  ","71254.06","27052"
"31 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3739.00","3817.00","3667.00","3683.00","3723.00","474162","47416.200 BBL  ","1770937.50","27058"
"30 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3799.00","3799.00","3712.00","3723.00","3806.00","394024","39402.400 BBL  ","1477512.64","25332"
"29 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3822.00","3882.00","3777.00","3806.00","3808.00","401946","40194.600 BBL  ","1540766.25","21822"
"28 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3783.00","3849.00","3763.00","3808.00","3783.00","417485","41748.500 BBL  ","1588530.09","22280"
"27 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3844.00","3844.00","3735.00","3783.00","3873.00","431780","43178.000 BBL  ","1632019.60","23225"
"24 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","3951.00","3995.00","3850.00","3873.00","3931.00","358244","35824.400 BBL  ","1405605.81","22851"
"23 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4045.00","4045.00","3917.00","3931.00","4048.00","371662","37166.200 BBL  ","1472302.82","21567"
"22 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4171.00","4171.00","4031.00","4048.00","4186.00","332265","33226.500 BBL  ","1360837.32","19643"
"21 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4171.00","4194.00","4117.00","4186.00","4182.00","289262","28926.200 BBL  ","1200778.79","14166"
"20 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4165.00","4222.00","4165.00","4182.00","4162.00","196361","19636.100 BBL  ","823567.59","14464"
"17 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4170.00","4204.00","4153.00","4162.00","4178.00","50244","5024.400 BBL  ","209936.42","11414"
"16 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4130.00","4188.00","4097.00","4178.00","4115.00","30086","3008.600 BBL  ","124686.22","6997"
"15 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4142.00","4147.00","4076.00","4115.00","4153.00","17074","1707.400 BBL  ","70236.62","6542"
"14 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4160.00","4171.00","4108.00","4153.00","4144.00","14506","1450.600 BBL  ","60109.62","4989"
"13 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4235.00","4235.00","4117.00","4144.00","4210.00","14023","1402.300 BBL  ","58428.42","4499"
"10 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4243.00","4249.00","4181.00","4210.00","4243.00","13039","1303.900 BBL  ","54971.48","3498"
"09 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4280.00","4305.00","4185.00","4243.00","4263.00","18031","1803.100 BBL  ","76628.67","3217"
"08 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4510.00","4589.00","4249.00","4263.00","4495.00","28621","2862.100 BBL  ","126657.40","3165"
"07 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4515.00","4534.00","4470.00","4495.00","4536.00","10653","1065.300 BBL  ","47979.90","2074"
"06 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4505.00","4663.00","4505.00","4536.00","4494.00","14666","1466.600 BBL  ","67324.91","1869"
"03 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4350.00","4596.00","4350.00","4494.00","4342.00","17800","1780.000 BBL  ","80593.89","1843"
"02 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4368.00","4382.00","4330.00","4342.00","4375.00","10166","1016.600 BBL  ","44308.12","1441"
"01 Jan 2020","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4366.00","4382.00","4360.00","4375.00","4380.00","665","66.500 BBL  ","2906.98","1435"
"31 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4394.00","4410.00","4326.00","4380.00","4397.00","8802","880.200 BBL  ","38470.33","1439"
"30 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4414.00","4448.00","4360.00","4397.00","4413.00","7112","711.200 BBL  ","31356.99","1226"
"27 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4406.00","4427.00","4379.00","4413.00","4398.00","5673","567.300 BBL  ","25001.52","1211"
"26 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4365.00","4407.00","4355.00","4398.00","4357.00","4905","490.500 BBL  ","21501.05","1071"
"24 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4319.00","4363.00","4315.00","4357.00","4325.00","3189","318.900 BBL  ","13841.67","871"
"23 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4295.00","4330.00","4286.00","4325.00","4297.00","3709","370.900 BBL  ","15982.90","709"
"20 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4358.00","4362.00","4280.00","4297.00","4355.00","5354","535.400 BBL  ","23146.96","604"
"19 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4320.00","4366.00","4312.00","4355.00","4338.00","3507","350.700 BBL  ","15213.90","516"
"18 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4305.00","4340.00","4283.00","4338.00","4330.00","1139","113.900 BBL  ","4915.77","374"
"17 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4288.00","4339.00","4265.00","4330.00","4273.00","171","17.100 BBL  ","735.22","65"
"16 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4260.00","4275.00","4241.00","4273.00","4233.00","23","2.300 BBL  ","98.19","18"
"13 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4219.00","4250.00","4219.00","4233.00","4202.00","10","1.000 BBL  ","42.33","7"
"12 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4202.00","4164.00","0","0.000 BBL  ","0.00","4"
"11 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4164.00","4192.00","0","0.000 BBL  ","0.00","4"
"10 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4170.00","4215.00","4170.00","4192.00","4203.00","3","0.300 BBL  ","12.58","4"
"09 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4203.00","4200.00","0","0.000 BBL  ","0.00","2"
"06 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4200.00","4200.00","4200.00","4200.00","4210.00","1","0.100 BBL  ","4.20","2"
"05 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4210.00","4210.00","4210.00","4210.00","4192.00","2","0.200 BBL  ","8.42","3"
"04 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4192.00","4057.00","0","0.000 BBL  ","0.00","2"
"03 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4057.00","4031.00","0","0.000 BBL  ","0.00","2"
"02 Dec 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4031.00","4101.00","0","0.000 BBL  ","0.00","2"
"29 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","4152.00","4152.00","4050.00","4101.00","4194.00","2","0.200 BBL  ","8.20","2"
"28 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4194.00","4145.00","0","0.000 BBL  ","0.00","0"
"27 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4145.00","4169.00","0","0.000 BBL  ","0.00","0"
"26 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4169.00","4150.00","0","0.000 BBL  ","0.00","0"
"25 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4150.00","4183.00","0","0.000 BBL  ","0.00","0"
"22 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4183.00","4191.00","0","0.000 BBL  ","0.00","0"
"21 Nov 2019","FUTCOM","CRUDEOIL     ","19FEB2020","-","0.00","","","","4191.00","4106.00","0","0.000 BBL  ","0.00","0"
