"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"05 Nov 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31785.00","31898.00","31630.00","31667.00","31737.00","182","18.200 GRMS ","577.79","623"
"02 Nov 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31737.00","31999.00","31530.00","31737.00","31783.00","536","53.600 GRMS ","1695.26","719"
"01 Nov 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31671.00","31818.00","31619.00","31783.00","31631.00","1577","157.700 GRMS ","4999.98","1157"
"31 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31650.00","31780.00","31590.00","31631.00","31725.00","5672","567.200 GRMS ","17966.43","1772"
"30 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31755.00","31789.00","31651.00","31725.00","31730.00","5964","596.400 GRMS ","18918.28","3328"
"29 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31847.00","31847.00","31692.00","31730.00","31764.00","6665","666.500 GRMS ","21168.62","3995"
"26 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31779.00","31993.00","31725.00","31764.00","31683.00","13307","1330.700 GRMS ","42370.98","4312"
"25 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31800.00","31912.00","31663.00","31683.00","31723.00","9536","953.600 GRMS ","30303.88","4651"
"24 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31820.00","31844.00","31585.00","31723.00","31871.00","9817","981.700 GRMS ","31150.99","4714"
"23 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31721.00","32053.00","31721.00","31871.00","31729.00","13469","1346.900 GRMS ","43000.23","5389"
"22 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31738.00","31749.00","31641.00","31729.00","31737.00","6731","673.100 GRMS ","21337.28","5209"
"19 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31805.00","31867.00","31703.00","31737.00","31885.00","7588","758.800 GRMS ","24098.92","5251"
"18 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31670.00","31909.00","31638.00","31885.00","31702.00","5544","554.400 GRMS ","17630.73","5458"
"17 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31670.00","31839.00","31635.00","31702.00","31701.00","8633","863.300 GRMS ","27400.18","5158"
"16 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31877.00","31957.00","31680.00","31701.00","31877.00","10706","1070.600 GRMS ","34077.62","5399"
"15 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31723.00","32075.00","31723.00","31877.00","31670.00","14306","1430.600 GRMS ","45670.62","6270"
"12 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31699.00","31720.00","31574.00","31670.00","31793.00","10614","1061.400 GRMS ","33600.72","5357"
"11 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31300.00","31815.00","31250.00","31793.00","31247.00","17378","1737.800 GRMS ","54816.77","6678"
"10 Oct 2018","FUTCOM","GOLDM        ","05NOV2018","-","0.00","31235.00","31265.00","31151.00","31247.00","31161.00","6580","658.000 GRMS ","20535.93","4355"
