"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"29 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","166.00","166.00","164.75","160.90","167.15","65","325.000 KGS  ","536.64","3"
"28 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","168.00","168.00","167.00","167.15","168.65","19","95.000 KGS  ","159.06","67"
"27 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","172.70","172.75","167.35","168.65","167.55","33","165.000 KGS  ","280.07","84"
"25 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","167.40","167.60","167.00","167.55","166.95","24","120.000 KGS  ","200.96","101"
"22 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","165.60","167.25","165.20","166.95","166.55","844","4220.000 KGS  ","7015.09","242"
"21 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","166.15","166.90","165.20","166.55","166.15","3461","17305.000 KGS  ","28735.66","506"
"20 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","166.00","166.75","165.45","166.15","166.30","3956","19780.000 KGS  ","32840.50","834"
"19 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","164.50","166.75","163.75","166.30","164.45","4722","23610.000 KGS  ","38995.47","998"
"18 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","166.40","166.40","164.25","164.45","165.40","3490","17450.000 KGS  ","28833.05","991"
"15 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","166.20","166.30","163.50","165.40","166.00","4712","23560.000 KGS  ","38806.43","1064"
"14 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","165.55","167.20","164.65","166.00","166.00","5917","29585.000 KGS  ","48988.98","1237"
"13 Jan 2021","FUTCOM","LEAD         ","29JAN2021","-","0.00","159.95","166.45","159.35","166.00","159.25","7516","37580.000 KGS  ","61291.06","1383"
