"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"25 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","184.00","188.80","182.80","189.80","179.70","87940","109925.000 mmBtu","203663.27","2768"
"22 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","182.10","182.10","176.40","179.70","180.70","165024","206280.000 mmBtu","369264.62","4278"
"21 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","183.00","186.30","179.70","180.70","181.00","202685","253356.250 mmBtu","461175.68","6086"
"20 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","187.00","187.50","178.80","181.00","187.50","186413","233016.250 mmBtu","424318.34","7660"
"19 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","193.00","196.40","186.10","187.50","191.60","238485","298106.250 mmBtu","568422.57","6352"
"18 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","199.20","199.20","188.30","191.60","199.60","178219","222773.750 mmBtu","426009.98","5712"
"15 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","195.90","204.90","193.00","199.60","197.60","246111","307638.750 mmBtu","614564.25","5399"
"14 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","202.00","204.00","194.90","197.60","200.30","231077","288846.250 mmBtu","578471.27","5986"
"13 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","204.00","207.00","198.30","200.30","207.20","256279","320348.750 mmBtu","649867.84","5454"
"12 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","199.90","212.70","199.90","207.20","196.90","214160","267700.000 mmBtu","558009.25","5931"
"11 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","194.50","197.80","190.50","196.90","197.70","185318","231647.500 mmBtu","449761.88","6365"
"08 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","198.20","199.30","192.10","197.70","201.10","204864","256080.000 mmBtu","502496.44","5612"
"07 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","199.10","202.60","195.70","201.10","201.20","234878","293597.500 mmBtu","584622.29","7437"
"06 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","197.60","203.20","191.20","201.20","198.20","252170","315212.500 mmBtu","618783.29","7288"
"05 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","190.60","200.40","190.60","198.20","189.50","216945","271181.250 mmBtu","534818.81","7536"
"04 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","189.10","195.50","188.30","189.50","185.40","222491","278113.750 mmBtu","533533.24","7734"
"01 Jan 2021","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","182.70","188.00","182.70","185.40","182.10","24379","30473.750 mmBtu","56609.00","6988"
"31 Dec 2020","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","178.80","185.00","178.30","182.10","176.60","194600","243250.000 mmBtu","442649.63","7385"
"30 Dec 2020","FUTCOM","NATURALGAS   ","25JAN2021","-","0.00","178.20","181.60","175.50","176.60","181.10","205103","256378.750 mmBtu","458630.96","9099"
