"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"27 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","200.50","200.90","197.80","199.10","199.80","31834","39792.500 mmBtu","79369.49","673"
"26 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","196.60","200.90","196.60","199.80","196.20","40632","50790.000 mmBtu","101190.48","4070"
"23 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","200.00","201.20","195.50","196.20","200.60","55730","69662.500 mmBtu","138280.37","4918"
"22 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","205.80","206.50","199.50","200.60","204.00","66648","83310.000 mmBtu","168635.41","6978"
"21 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","204.30","207.60","203.10","204.00","203.60","52473","65591.250 mmBtu","134670.58","9219"
"20 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","196.30","204.00","196.30","203.60","195.50","60608","75760.000 mmBtu","152188.33","10225"
"19 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","197.40","197.60","193.90","195.50","198.00","45186","56482.500 mmBtu","110507.29","7745"
"16 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","194.90","198.80","192.30","198.00","195.90","53059","66323.750 mmBtu","129471.34","9536"
"15 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","194.50","197.00","190.00","195.90","193.50","74144","92680.000 mmBtu","179585.34","8599"
"14 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","196.50","199.30","190.80","193.50","196.20","70886","88607.500 mmBtu","173204.27","6607"
"13 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","195.40","196.90","194.10","196.20","194.70","40925","51156.250 mmBtu","100142.47","9359"
"12 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","189.00","195.80","189.00","194.70","188.30","63637","79546.250 mmBtu","153577.66","7849"
"09 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","186.50","190.30","186.40","188.30","186.10","47929","59911.250 mmBtu","112793.55","5640"
"08 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","178.90","187.90","178.90","186.10","178.40","61783","77228.750 mmBtu","141917.30","4680"
"07 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","181.10","182.50","177.50","178.40","180.60","39336","49170.000 mmBtu","88502.42","7448"
"06 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","184.20","184.70","180.00","180.60","184.80","30723","38403.750 mmBtu","70177.75","6201"
"05 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","185.00","190.00","182.20","184.80","187.20","17293","21616.250 mmBtu","39740.25","4912"
"02 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","187.50","189.60","185.80","187.20","187.30","37884","47355.000 mmBtu","88768.26","5084"
"01 Sep 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","193.10","194.20","186.80","187.30","194.40","57493","71866.250 mmBtu","136588.79","5393"
"31 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","190.50","196.10","189.00","194.40","190.70","61233","76541.250 mmBtu","147035.80","6420"
"30 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","195.00","197.80","189.90","190.70","193.80","63211","79013.750 mmBtu","153538.85","5746"
"29 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","196.40","197.60","193.10","193.80","197.80","51568","64460.000 mmBtu","125952.94","6050"
"26 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","194.40","198.40","190.60","197.80","194.40","28502","35627.500 mmBtu","69218.47","7243"
"25 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","190.30","195.20","189.40","194.40","191.30","12089","15111.250 mmBtu","29116.75","4493"
"24 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","187.00","192.40","187.00","191.30","187.00","8664","10830.000 mmBtu","20572.60","2833"
"23 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","181.40","187.60","180.60","187.00","181.60","5752","7190.000 mmBtu","13253.79","1996"
"22 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","179.10","183.90","179.10","181.60","178.40","3803","4753.750 mmBtu","8639.33","1437"
"19 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","181.50","182.40","176.80","178.40","183.00","2635","3293.750 mmBtu","5900.55","1248"
"18 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","179.00","183.50","177.60","183.00","179.60","3167","3958.750 mmBtu","7150.08","1284"
"17 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","178.30","180.80","176.80","179.60","177.80","3027","3783.750 mmBtu","6770.93","1128"
"16 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","176.40","178.60","176.20","177.80","177.10","1448","1810.000 mmBtu","3214.13","1102"
"12 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","174.00","179.50","173.80","177.10","174.60","3138","3922.500 mmBtu","6940.49","1060"
"11 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","176.80","178.50","172.50","174.60","176.40","4029","5036.250 mmBtu","8869.66","1108"
"10 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","178.50","180.50","175.10","176.40","179.40","3095","3868.750 mmBtu","6880.60","1165"
"09 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","186.40","187.10","179.20","179.40","187.10","2862","3577.500 mmBtu","6531.80","1044"
"08 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","188.00","188.00","184.40","187.10","189.50","2186","2732.500 mmBtu","5086.47","928"
"05 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","192.70","193.60","188.80","189.50","194.30","2388","2985.000 mmBtu","5703.75","1005"
"04 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","193.00","196.50","191.90","194.30","194.90","3677","4596.250 mmBtu","8916.31","1323"
"03 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","187.00","195.30","187.00","194.90","187.80","3265","4081.250 mmBtu","7839.29","1332"
"02 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","189.70","191.20","187.00","187.80","190.30","2237","2796.250 mmBtu","5287.42","995"
"01 Aug 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","192.60","196.10","190.00","190.30","196.20","2823","3528.750 mmBtu","6807.21","1092"
"29 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","195.70","198.50","194.20","196.20","197.20","2897","3621.250 mmBtu","7103.24","1382"
"28 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","183.80","197.50","182.90","197.20","184.50","4938","6172.500 mmBtu","11824.62","1382"
"27 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","184.60","187.20","182.60","184.50","185.50","2251","2813.750 mmBtu","5202.27","913"
"26 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","185.10","187.40","183.30","185.50","187.40","1249","1561.250 mmBtu","2894.64","860"
"25 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","189.20","190.40","186.50","187.40","189.10","343","428.750 mmBtu","808.01","440"
"22 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","181.70","189.30","181.50","189.10","182.10","291","363.750 mmBtu","680.06","355"
"21 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","180.60","183.30","178.80","182.10","181.40","189","236.250 mmBtu","428.65","206"
"20 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","185.00","185.80","181.30","181.40","185.90","187","233.750 mmBtu","427.80","197"
"19 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","185.60","189.00","185.50","185.90","186.90","97","121.250 mmBtu","226.48","197"
"18 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","188.90","190.00","186.60","186.90","187.50","125","156.250 mmBtu","294.88","193"
"15 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","185.80","189.00","182.60","187.50","185.20","155","193.750 mmBtu","359.63","199"
"14 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","187.10","187.80","184.50","185.20","186.40","103","128.750 mmBtu","239.96","164"
"13 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","186.40","189.60","184.30","186.40","186.60","141","176.250 mmBtu","328.97","153"
"12 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","186.50","188.80","184.70","186.60","186.10","137","171.250 mmBtu","319.74","111"
"11 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","193.20","195.70","185.70","186.10","191.50","136","170.000 mmBtu","324.02","113"
"08 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","191.00","193.00","189.90","191.50","191.00","56","70.000 mmBtu","134.10","112"
"07 Jul 2016","FUTCOM","NATURALGAS   ","27SEP2016","-","0.00","193.30","195.50","188.40","191.00","192.00","133","166.250 mmBtu","318.55","108"
