"Date","Instrument Name","Symbol","Expiry Date","Option Type","Strike Price","Open","High","Low","Close","Previous Close","Volume(Lots)","Volume(In 000's)","Value(Lacs)","Open Interest(Lots)"
"30 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","242.75","242.75","240.00","239.50","236.85","5","25.000 KGS  ","60.25","5"
"29 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.00","237.00","236.00","236.85","236.80","6","30.000 KGS  ","71.05","10"
"28 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.90","237.90","235.40","236.80","235.85","18","90.000 KGS  ","213.04","38"
"25 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","240.00","240.30","235.80","235.85","239.30","107","535.000 KGS  ","1272.06","132"
"24 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","235.80","239.85","234.75","239.30","236.60","544","2720.000 KGS  ","6442.05","330"
"23 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","231.65","237.90","230.60","236.60","232.15","5279","26395.000 KGS  ","61971.77","523"
"22 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","232.40","234.40","231.60","232.15","232.20","6573","32865.000 KGS  ","76535.29","759"
"21 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","230.30","232.90","228.60","232.20","230.30","6655","33275.000 KGS  ","76862.80","1085"
"18 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","235.10","235.40","229.10","230.30","233.55","8866","44330.000 KGS  ","102889.24","1425"
"17 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","241.05","241.60","233.20","233.55","240.85","10363","51815.000 KGS  ","123039.56","1625"
"16 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","240.45","241.70","236.95","240.85","240.45","9641","48205.000 KGS  ","115217.64","2248"
"15 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","239.20","241.60","236.40","240.45","242.70","9281","46405.000 KGS  ","110954.24","2464"
"14 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","242.00","244.10","241.00","242.70","242.05","6802","34010.000 KGS  ","82488.26","2752"
"11 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","238.15","242.35","237.35","242.05","237.60","7399","36995.000 KGS  ","89119.72","2717"
"10 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.00","238.45","235.40","237.60","238.05","6506","32530.000 KGS  ","77073.67","2165"
"09 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.50","239.20","237.20","238.05","237.75","5692","28460.000 KGS  ","67766.24","2233"
"08 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","236.55","238.15","234.90","237.75","237.30","7579","37895.000 KGS  ","89679.59","2177"
"07 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","236.30","237.85","233.40","237.30","236.65","7874","39370.000 KGS  ","92744.55","2172"
"04 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","235.70","238.20","235.55","236.65","235.70","6296","31480.000 KGS  ","74519.61","2103"
"03 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","241.25","241.80","234.85","235.70","241.70","9533","47665.000 KGS  ","113207.31","2134"
"02 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","240.40","242.95","240.40","241.70","239.20","7631","38155.000 KGS  ","92298.61","2952"
"01 Jun 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","238.30","240.90","238.15","239.20","237.35","7478","37390.000 KGS  ","89492.86","2367"
"31 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","238.35","239.10","236.50","237.35","237.85","4637","23185.000 KGS  ","55129.36","2189"
"28 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","239.00","239.40","235.45","237.85","238.55","10824","54120.000 KGS  ","128375.20","2054"
"27 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","233.35","238.85","232.85","238.55","232.45","10288","51440.000 KGS  ","121312.56","2242"
"26 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","233.00","234.85","231.65","232.45","233.55","8140","40700.000 KGS  ","94904.97","1723"
"25 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","231.55","234.40","230.15","233.55","231.15","8540","42700.000 KGS  ","98950.99","1778"
"24 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","229.95","232.75","228.60","231.15","232.95","4077","20385.000 KGS  ","47023.88","1298"
"21 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","233.20","236.90","231.00","232.95","232.70","1787","8935.000 KGS  ","20905.51","947"
"20 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","232.70","235.00","231.60","232.70","233.20","1157","5785.000 KGS  ","13486.68","803"
"19 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","238.25","238.75","231.25","233.20","240.10","1247","6235.000 KGS  ","14649.01","714"
"18 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","240.80","244.50","239.65","240.10","239.30","896","4480.000 KGS  ","10845.57","847"
"17 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","233.40","239.65","232.50","239.30","232.20","699","3495.000 KGS  ","8245.40","614"
"14 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","231.30","232.65","229.00","232.20","231.00","353","1765.000 KGS  ","4081.28","373"
"13 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","234.00","234.00","229.65","231.00","235.15","191","955.000 KGS  ","2202.34","352"
"12 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.15","238.40","234.50","235.15","237.20","209","1045.000 KGS  ","2466.83","315"
"11 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","237.80","238.80","235.85","237.20","235.95","159","795.000 KGS  ","1887.56","301"
"10 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","240.00","241.40","235.40","235.95","237.65","390","1950.000 KGS  ","4655.34","282"
"07 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","234.65","237.90","233.80","237.65","232.95","205","1025.000 KGS  ","2417.86","180"
"06 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","231.60","233.50","231.40","232.95","232.80","135","675.000 KGS  ","1568.38","158"
"05 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","236.95","237.10","231.35","232.80","235.05","112","560.000 KGS  ","1310.81","124"
"04 May 2021","FUTCOM","ZINC         ","30JUN2021","-","0.00","234.00","237.75","234.00","235.05","233.80","174","870.000 KGS  ","2052.24","109"
